A,,B,,C,
T,V,T,V,T,V
21.58406,212.5542,21.58406,484.024,21.58406,154.1517
21.63165,197.9747,21.63165,470.2206,21.63165,134.5402
21.67924,199.5274,21.67924,468.0453,21.67924,125.4161
21.72684,213.1013,21.72684,466.3763,21.72684,132.0023
21.77443,209.1238,21.77443,475.3013,21.77443,154.1954
21.82202,203.8622,21.82202,492.9236,21.82202,163.2184
21.86961,214.0436,21.86961,502.8105,21.86961,133.754
21.9172,202.6371,21.9172,504.7779,21.9172,108.6529
21.96479,185.4599,21.96479,470.5742,21.96479,121.4897
22.01237,166.4515,22.01237,457.9505,22.01237,147.0966
22.05996,148.8143,22.05996,446.6747,22.05996,164.8138
22.10755,129.1913,22.10755,454.7581,22.10755,142.7356
